text,label_meaning,prediction
在领导的再三催促下，1979年才养了四头母猪，80只老鸭，年终分配时减免了农业税，人均纯收入只有51元，欠国家贷款13，000元。,2,2
扎兹认为，只有安理会一致支持对南非进行全面的、强制性的制裁的决议，才可以使和平解决纳米比亚问题取得结果。,3,3
他用了几年的时间才制成这座大型天使铜像。,2,2
去年12月，他在中医院内科住院治疗高血压，直到血压指标正常才出院回家。,2,2
工人孙凤凯家住东塔，离工厂有二十多里，取消月票后每天早晨四点钟起床，四点半开始步行，六点半才到厂，每天要在路上来回四个多小时，弄得精疲力尽，影响了生产和业余学习。,2,2
群众的检举揭发在报上一登，他才坐立不安，惶惶不可终日。,2,2
因此，要坚持经常参加劳动，必须不断解决新出现的问题，不断提高自觉性，不断改进工作方法，才不会形成“虎头蛇尾”的现象。,3,3
水退后我才回家转，满目凄凉我心发酸。,2,2
70年代，我国的羊绒才从原料出口走向深加工轨道。,2,2
正是夏老的渊博学识，独创的书法艺术风格，才使其屹立在书法艺术大师之列。,3,3
这样他才去掉了装腔作势，假惺惺的姿态，开始走向文学的真实与生动。,3,3
这样，他才会从“吃下去痛快，吐出来难受”中吸取教训，逐渐养成遵纪守法的习惯。,3,3
有了这样的组合性舞蹈语汇，才使洪常青的形象在我们心头留下不可磨灭的印象。,3,3
我们问他怎么这么晚才出来，他有些不好意思地告诉我们，因为上课多嘴被老师罚站，放学后老师又逼着他与另一被罚站的同学互相抽耳光。,2,2
狄德罗在批评贝克莱的时候说：“那些只承认自己的存在和我们体内彼此更替着的感觉的存在，而不承认其他任何东西的哲学家，叫作唯心主义者，这种怪诞的体系，在我看来，只有瞎子才会创造出来！,3,3
国家富强，我们的日子才好过。,3,3
只是对社会主义的热爱，才使我今天坐在被告席上，那怕再审判我十次，只要还有精力，我还要保卫我所珍惜的共产主义理想。,3,3
在这种情况下，一方面政府有关部门要为残疾人创造就业条件；另一方面，残疾人也应努力提高自身适应正常社会生活的能力，尽可能多掌握一些技能，这样，就业的机会才会相对增加。,3,3
孙荣霞说，有一次早上7时出发，晚上7时才到家，路费好几百元，一年回去几次后，就没有多少积蓄了。,2,2
社干部没办法才又分给社员去喂。,3,2
而笔者在进行操作时，也发现触摸屏存在反应不灵敏、网络不稳定等问题，有时点击一个选项，可能要等待数秒才会跳转。,2,3
只有这样看，雷锋精神才不会时过境迁。,3,3
这样消费者才会买得放心、住得踏实。,3,3
这两种思想的斗争持续了将近一年的时间，直到学习了党的八届八中全会文件之后，在提高了认识的基础上，通过具体的、细致的研究工作，批判地学习已有的经验，才作出了处理断层的新方案。,2,2
张北英表示，打造品牌需以“诚信为本、服务至上”，兼顾企业文化，才可在市场中有所突破。,3,3
经验证明，只有打通群众思想，才会造成抢种浪潮。,3,3
他认为今后应该在三个层面上做好深入细致的工作，才可能把防震减灾工作落到实处：充分发挥政府职能。,3,3
另外，研究生入学后，也没有固定的指导老师，只有在写学位论文的时候，他（她）才会按照论文的选题去自主选择指导老师，可以是本研究所的，也可以跨校选择，慕名而投。,3,3
心急如焚的彭廷榜想到集体1.8万元的物资可能受到损失，便坚持到处理妥当才回家。,2,2
经他们公议后，这才以香烛供养的旧日仪式，第一次使此遗像与“外人”相见。,2,2
据说，黑颈鹤每年春天离开大山包的时候，总要围着董应兰的家鸣叫好久，才依依不舍地离去，第二年冬天回来的时候，也是先要寻觅她的踪影。,2,2
唯其如此，接受香港商人投资的深圳光明华侨畜牧场才大规模引进了它。,3,3
正是由于这个根本性的变化，才促进了医疗作风、医疗业务上一系列的变化。,3,3
一个批评家与一个作家，只有熟到了骨头里，才会有如此到位的透视和剖析。,3,3
该书中文第一册出版于1983年，直到1994年才出齐，坊间少有整套留存。,2,3
她们不是当地人，老人说她们是船上人，生而没有故乡，春暖花开时才下船，在岸边找处浅滩梳妆，也浣洗积了一整季的冬衣。,2,2
试想，有多少学生是因为路费问题才不回家的？,3,3
